-1.245,0.2229245,0.9534969
-1.245,0.4027439,0.4807457
-1.245,0.6693707,0.618992
-1.245,0.8747101,1.189071
-0.5182931,0.397929,0.813
-0.5254957,0.6340041,0.813
-0.5124656,0.005,0.1569643
-0.7842199,0.4572554,0.813
-1.245,0.960452,0.1868622
-0.5269789,0.005,0.001245111
-0.7188407,0.005,-0.009888023
-0.3271877,0.005,0.5781335
-1.245,0.7910583,0.1152685
-1.122842,0.005,0.3483074
-0.3835477,0.005,0.2207973
-1.245,0.1455745,-0.100106
-0.7225914,0.005,0.2458603
-0.7601109,0.005,0.1967615
-0.3939283,0.005,0.5556602
-1.245,0.380078,0.901897
-0.4843187,0.005,-0.2212024
-1.245,0.8127439,0.6506779
-1.245,0.5423409,0.04383086
-0.7030203,0.005,-0.03934495
-1.245,0.5240944,0.4977609
-1.245,0.5600647,-0.03999107
-1.050909,0.005,0.1990003
-0.3073311,0.005,0.3275351
-1.245,0.3140942,0.3104156
-0.2854239,0.005,0.1385893
-1.245,0.2110415,0.3101081
-0.4198026,0.005,0.4257589
-0.7909331,0.005,-0.2251474
-1.245,0.5711857,-0.07429355
-0.5567318,0.005,-0.1002844
-1.245,0.5374864,0.06049849
-1.245,0.0755434,-0.4315
-0.7753062,0.005,0.574709
-1.245,0.2210722,-0.1508172
-0.3339873,0.005,0.2105926
-0.6263742,0.005,-0.351303
-1.231513,0.005,0.7453775
-1.245,0.7553048,0.3720363
-1.116531,0.005,0.7989568
-0.4838346,0.005,0.104177
-1.245,0.6074671,-0.522604
-1.245,0.900148,0.5495433
-1.245,0.712129,-0.4180835
-1.185302,0.005,-0.6800611
-1.245,0.6938137,-0.5330237
-0.3133754,0.005,0.0354203
-1.245,0.2338375,-0.4829112
-1.245,0.4435676,0.08778308
-1.245,0.2130315,-0.3463641
-0.7518759,0.005,-0.3271504
-1.245,0.5041715,0.4244404
-1.245,0.7413782,0.1174683
-1.245,0.8450501,-0.4947407
-1.245,0.6103022,0.4028842
-0.8071028,0.005,-0.3748695
-0.776983,0.005,-0.5142647
-1.245,0.6544904,-0.5326361
-0.9741719,0.005,-0.03056382
-0.9531339,0.005,-0.2582023
-1.245,0.388285,-0.1311954
-1.245,0.4923843,-0.6395751
-1.245,0.220011,0.1451296
-0.2510412,0.005,-0.02816831
-0.3583342,0.005,-0.1827294
